Job Title,Company,Loaction,PostDate,CurrentDate,Summary,Salary,Joburl
Software Developer,MEJORA Jobs & Education,"Kochi, Kerala",30+ days ago,"June 16, 2021",Location: Kochi Company Type: IT Qualification: Graduate Experience: Fresher/ Experienced Salary: 8k…,"₹8,000 - ₹20,000 a month",https://in.indeed.com/rc/clk?jk=f5a34c8fbc248575&fccid=83540646dd994ddf&vjs=3
ITSM Developer,Talent Basket,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021"," Experience in ITSM tools implementations, configurations and integrations with 3rd party applications.  Experience in API integrations to integrate with third party applications.",,https://in.indeed.com/rc/clk?jk=782731f2edc72a89&fccid=4cf59f6cd5b3bacd&vjs=3
.net developer with WPF Skills,AIPSoft,"Cannanore, Kerala",30+ days ago,"June 16, 2021",Develop and deliver quality code adhering to the standards and guidelines. Ability to communicate in a precise and effective manner (verbal and written in English).,"₹20,000 - ₹35,000 a month",https://in.indeed.com/rc/clk?jk=d7491aa45edff17b&fccid=7e1ac0d12effda58&vjs=3
Software Engineer (C language),QuEST Global Engineering,"Thiruvananthapuram, Kerala",5 days ago,"June 16, 2021","Developing, coding, testing and debugging system software. Interface with hardware design and development. Implementing software of embedded devices and systems (OS & Bare metal).",,https://in.indeed.com/rc/clk?jk=748f42dd19c42bb8&fccid=ad3813e46e9342cd&vjs=3
Dot Net Developer,Suyati,"Kochi, Kerala",30+ days ago,"June 16, 2021","Must have expertise in coding, testing and implementing configuration changes and assisting in the design of software applications to meet both functional and technical requirements.",,https://in.indeed.com/rc/clk?jk=cbe052ef2e4896a9&fccid=50f743fbb99e3823&vjs=3
React JS Developer-Entry level,HiFX IT & Media Services,"Kochi, Kerala",30+ days ago,"June 16, 2021",Developing new user-facing features using React.js. Building reusable components and front-end libraries for future use. Ability to understand business requirements and translate them into technical…,,https://in.indeed.com/rc/clk?jk=961b68a512289048&fccid=4b114c8150a9a6ad&vjs=3
"Engineer, Software Development and Technical Support",CINQUE Technologies,"Kochi, Kerala",29 days ago,"June 16, 2021",Developing front end of web applications and designing user interactions on web pages. Developing back end of web applications. Properly escalate unresolved issues to appropriate internal teams (e.g.…,,https://in.indeed.com/rc/clk?jk=6235a3b771e5f0e4&fccid=d9b21f34ea63801e&vjs=3
PHP Developer,TechPullers,"Kochi, Kerala",30+ days ago,"June 16, 2021","As a PHP Developer, you will be responsible for developing and developing all web based applications. In the end, a top-level PHP Developer will design and construct efficient PHP modules while…",,https://in.indeed.com/rc/clk?jk=ea6bf734ec900f38&fccid=068e33cd8c9277d9&vjs=3
JUNIOR DEVELOPER – (UMBRACO),Aabasoft,"Kochi, Kerala",30+ days ago,"June 16, 2021","Write clean, scalable code using . Experience using HTML, CSS, JavaScript, C#, ASP. Knowledge of REST services using JSON and AJAX. Test and deploy applications and systems.",,https://in.indeed.com/rc/clk?jk=1affa1f700fdb56c&fccid=d9064d0c32b14a66&vjs=3
Wordpress Developer,Aves Infotech,"Kochi, Kerala",30+ days ago,"June 16, 2021","Developing web applications using popular PHP frameworks and Word Press. Developing next generation web applications, products and websites in PHP- MySQL. Knowledge in WooCommerce is must.",,https://in.indeed.com/rc/clk?jk=b07a3dd1e659ee90&fccid=395da75b07c25648&vjs=3
Junior Web Developer,Atlanduz,"Kochi, Kerala",30+ days ago,"June 16, 2021","A creative and flexible attitude happy to help out with other creative and design projects as they arise. An appreciation of modern, contemporary, customer focused design.",,https://in.indeed.com/rc/clk?jk=79dd4300f3e148eb&fccid=d8fb7555dd5f29de&vjs=3
AI/ML Developer,Ernst & Young,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021",Ability to work in a team of software developers and business stakeholders. Relevant Experience of 2+ year and total experience in software development 5+. Ability to write robust code in Python.,,https://in.indeed.com/rc/clk?jk=34df53aab6ffe703&fccid=1544766d4c2915b0&vjs=3
"Software Developer, Back-end",IBM,"Kochi, Kerala",11 days ago,"June 16, 2021",Reviews include other Software Engineers and are held to ensure a high level of software quality and to share knowledge with team members. Software Developers at IBM are the backbone of our strategic…,,https://in.indeed.com/rc/clk?jk=33f620b14d29486b&fccid=de71a49b535e21cb&vjs=3
Angular Developer,Manappuram Comptech and Consultants,"Trichur, Kerala",30+ days ago,"June 16, 2021","Key Skills Angular(2+), Asp.net, HTML, CSS. This job requires exposure and understanding of UI technologies like Angular, Javascript, Jquery, HTML and CSS.",,https://in.indeed.com/rc/clk?jk=326913f4d74786aa&fccid=bf9d8b75d350d430&vjs=3
Software QA Engineer 2,IQVIA,"Kochi, Kerala",29 days ago,"June 16, 2021",Carries out procedures to ensure that all information systems products and services meet minimum organization standards and end-user requirements. Writes test plans for application functionality and…,,https://in.indeed.com/rc/clk?jk=82cd3e68904e2726&fccid=6b7a1dfe07e7f037&vjs=3
Associate II - Business Analysis,UST Global Singapore Pte Limited,"Ernakulam, Kerala",11 days ago,"June 16, 2021",Define business needs with support of others· participate in activities to define the necessary conditions to meet the business need with clear direction from others· perform some but not all tasks…,,https://in.indeed.com/rc/clk?jk=0ad06f017b89fc7d&fccid=810178099fb1fcbc&vjs=3
Python Developer,Forte Recruitment Consultants,"Ernakulam, Kerala",7 days ago,"June 16, 2021","Front end technologies like HTML5, jquery, CSS.",,https://in.indeed.com/rc/clk?jk=9cfc4b7ade82a568&fccid=b66fc6513e366213&vjs=3
BMCA — Associate — .NET - SP Developer,Ernst & Young,"Kochi, Kerala",18 days ago,"June 16, 2021","The candidate should use advanced knowledge of standard applications, especially MS Office applications, and basic web development software. Diagnose end user’s problems with the ability to prescribe…",,https://in.indeed.com/rc/clk?jk=c22cf4fd6f36e1e5&fccid=1544766d4c2915b0&vjs=3
Android Developer,AIPSoft,"Cannanore, Kerala",30+ days ago,"June 16, 2021","Design and implementation of front end business logic modules, database. Integrate backend API with the front end user interface elements. Passionate about technology, solving problems and creating a…","₹20,000 - ₹35,000 a month",https://in.indeed.com/rc/clk?jk=fa46721c17be8a5e&fccid=7e1ac0d12effda58&vjs=3
.Net Senior Developer,Infosys Limited,"Thiruvananthapuram, Kerala",30+ days ago,"June 16, 2021","A day in the life of an Infoscion • As part of the Infosys delivery team, your primary role would be to ensure effective Design, Development, Validation and Support activities, to assure that our…",,https://in.indeed.com/rc/clk?jk=3651d69d7aa36351&fccid=c67533a523c83a4c&vjs=3
Software Engineer – PHP (Laravel),Fingent,"Kochi, Kerala",30+ days ago,"June 16, 2021",Develop and maintain cutting edge web-based PHP applications on premium service platforms. Use test-driven development and acceptance tests to ensure feature quality.,,https://in.indeed.com/rc/clk?jk=b2cf2cf57c71a50d&fccid=b67bb5442ac9dbdc&vjs=3
